"","User","Region","Tweet"
"204","USER_2929b0da","Appalachia","Or I can say ""I will trade u, ur gun for an IGS book"""
"205","USER_2929b0da","Appalachia"," why fool"
"206","USER_2929b0da","Appalachia"," lol right"
"207","USER_2929b0da","Appalachia","RT : "
"208","USER_2929b0da","Appalachia","Still scrapin the black off of the world to get to the bread"
"209","USER_2929b0da","Appalachia","Columbus columbussss"
"222","USER_2929b0da","Appalachia"," its either me or adoption because I don't think nobody else will have sex with u. I do charity work lol"
"223","USER_2929b0da","Appalachia"," I will take u and ur whole team on EASY!!! I'm too inky over here lol"
"224","USER_2929b0da","Appalachia"," sigh, here we go"
"504","USER_2e5f8774","Appalachia"," light skin free way and shit...lol Look like you sell bean pies"
"505","USER_2e5f8774","Appalachia"," Hey Cuz...Where u been at?"
"506","USER_2e5f8774","Appalachia","Good Morning world..."
"507","USER_2e5f8774","Appalachia","SlowJamz or Rap today ?"
"508","USER_2e5f8774","Appalachia","Aye baby am i crazy? or was that tweet about me. You say maybe, well your crazy. Because i know im too fly."
"509","USER_2e5f8774","Appalachia"," your on 70? where the hell are u goin...its wed."
"510","USER_2e5f8774","Appalachia"," nooo...lol"
"511","USER_2e5f8774","Appalachia"," so its been raining?"
"512","USER_2e5f8774","Appalachia","Bout to finally get out of bed..."
"513","USER_2e5f8774","Appalachia","Pussy is only pussy and i get it when i need it."
"514","USER_2e5f8774","Appalachia"," real random!"
"515","USER_2e5f8774","Appalachia"," that would suck! smh"
"516","USER_2e5f8774","Appalachia"," true!"
"517","USER_2e5f8774","Appalachia","You cant give women the attention they want. Once they get it they pay you no attention."
"518","USER_2e5f8774","Appalachia"," o, tru"
"519","USER_2e5f8774","Appalachia"," i will make a way if your treating...lol"
"520","USER_2e5f8774","Appalachia","This Brutha group is chillz. ituning it up. Mac shit"
"521","USER_2e5f8774","Appalachia","!"
"522","USER_2e5f8774","Appalachia"," Go! Peer pressure!"
"523","USER_2e5f8774","Appalachia","Have you ever heard Food is the way to a mans heart? i dont think she got the memo...lol "
"524","USER_2e5f8774","Appalachia","almost that time..."
"525","USER_2e5f8774","Appalachia"," lmfao...look like somebody bout 2 be eating ass in that pic...smh"
"526","USER_2e5f8774","Appalachia"," naw i dont...lmao."
"527","USER_2e5f8774","Appalachia","Stay home alot, no tv. Just thoughts"
"528","USER_2e5f8774","Appalachia"," wats confusing???"
"529","USER_2e5f8774","Appalachia","Im cool...but a few hate"
"530","USER_2e5f8774","Appalachia"," 11am"
"531","USER_2e5f8774","Appalachia"," iam blaming twitter..lol"
"532","USER_2e5f8774","Appalachia"," Yea, i play acoustic"
"533","USER_2e5f8774","Appalachia","Hoes, are nothing more than hoes. They cant keep their legs closed."
"534","USER_2e5f8774","Appalachia","Slow motion is better than No motion. Never stop progressing"
"535","USER_2e5f8774","Appalachia","This white bitch next 2 me stink like shit...smh"
"536","USER_2e5f8774","Appalachia","She sitting like shoulder length to me. And she keep looking at my screen. I know she see this tweet...smh"
"537","USER_2e5f8774","Appalachia","I cant call it. "
"538","USER_2e5f8774","Appalachia"," college party"
"539","USER_2e5f8774","Appalachia"," Damn...lol Yea he got a car tho. But if you dont got john "
"540","USER_2e5f8774","Appalachia"," me..lol"
"541","USER_2e5f8774","Appalachia","Ima cool cat on life 9"
"542","USER_2e5f8774","Appalachia","Stomach touching my back! smh Gotta eat now!"
"543","USER_2e5f8774","Appalachia","Whats up ppl"
"544","USER_2e5f8774","Appalachia","Women that cant get in touch, Are still feeling me."
"545","USER_2e5f8774","Appalachia","My mind is mad at my heart."
"546","USER_2e5f8774","Appalachia"," I fucs wit lupe"
"547","USER_2e5f8774","Appalachia","My eyes are so heavy"
"548","USER_2e5f8774","Appalachia"," pow...lol"
"549","USER_2e5f8774","Appalachia"," y u shakin ya head ms."
"550","USER_2e5f8774","Appalachia","Smelling like burberry colone"
"551","USER_2e5f8774","Appalachia","Drunker than a motherfucker...lol But ima bout 2 end this nite alone as usually ....lol"
