"","User","Region","Tweet"
"1237","USER_d2aa4b17","Delmarva","Taboo is always a good time!... Always crazy competitive though!"
"1723","USER_db362dd9","Delmarva","RT :  I saw u with ur ass all out! in the light blue thong! lol (not in this lifetime or the next)"
"1724","USER_db362dd9","Delmarva"," u ready for the day?"
"1725","USER_db362dd9","Delmarva","Morning RT  Good Morning         "
"1726","USER_db362dd9","Delmarva"," "
"1727","USER_db362dd9","Delmarva"," its cool. Did some work and now chillin. How is ur day?"
"1728","USER_db362dd9","Delmarva"," lol no problem"
"1729","USER_db362dd9","Delmarva"," all is forgiven"
"1730","USER_db362dd9","Delmarva","RT   yes! It will get u movin everytime!"
"1731","USER_db362dd9","Delmarva","I don't know that nutjob lol"
"1732","USER_db362dd9","Delmarva"," ill be over for a glass!"
"1733","USER_db362dd9","Delmarva"," *packin weekend bag*"
"1734","USER_db362dd9","Delmarva"," Morning"
"1735","USER_db362dd9","Delmarva"," morning"
"1736","USER_db362dd9","Delmarva"," Good. How is ur morning?"
"1737","USER_db362dd9","Delmarva"," I'm pretty good. U?"
"1738","USER_db362dd9","Delmarva",""
"1739","USER_db362dd9","Delmarva"," I play the hell out that song lol"
"1740","USER_db362dd9","Delmarva","More like praising God RT :  don't pay   any attention, they just hating its not for them"
"1741","USER_db362dd9","Delmarva","u 2! RT :  very ,  and  (nice to tweet you though)."
"1742","USER_db362dd9","Delmarva",""
"1743","USER_db362dd9","Delmarva"," lmao a mess"
"1744","USER_db362dd9","Delmarva"," lmao"
"1745","USER_db362dd9","Delmarva"," What crew was that?"
"1746","USER_db362dd9","Delmarva",""
"1747","USER_db362dd9","Delmarva"," lol I do"
"1748","USER_db362dd9","Delmarva"," Thank u sir~ Good morning!!"
"1749","USER_db362dd9","Delmarva"," Tonight could work for me too but that leaves you know who and their ""schedule"" lmao"
"1750","USER_db362dd9","Delmarva",""
"1751","USER_db362dd9","Delmarva"," thanks!!"
"1752","USER_db362dd9","Delmarva","I see u  lol!!!"
"1753","USER_db362dd9","Delmarva"," I HATE that with a passion"
"1754","USER_db362dd9","Delmarva"," Morning"
"1755","USER_db362dd9","Delmarva"," Morning"
"1756","USER_db362dd9","Delmarva"," morning"
"1757","USER_db362dd9","Delmarva"," Right...on a Saturday!"
"1758","USER_db362dd9","Delmarva"," Keep me posted"
"1759","USER_db362dd9","Delmarva"," Morning!"
"1760","USER_db362dd9","Delmarva"," lmao I'm innocent!!! (Well I have half a halo.....)"
"1761","USER_db362dd9","Delmarva"," lol it is"
"1762","USER_db362dd9","Delmarva"," Sup sir. How are u?"
"1763","USER_db362dd9","Delmarva"," Laugh now and be drunk later. U have been warned..."
"1764","USER_db362dd9","Delmarva"," I'm good and u?"
"1765","USER_db362dd9","Delmarva",""
"1766","USER_db362dd9","Delmarva"," Yea, it really was. I still listen to it often."
"1767","USER_db362dd9","Delmarva"," A lot...what u know bout it?"
"1768","USER_db362dd9","Delmarva"," LMAO"
"1769","USER_db362dd9","Delmarva","Morning people"
"1770","USER_db362dd9","Delmarva"," Morning sir!"
"1771","USER_db362dd9","Delmarva"," LMAO it was THAT bad???"
"1772","USER_db362dd9","Delmarva"," lol what are u doin today?"
"1773","USER_db362dd9","Delmarva"," O someone was retarded then lol"
