"","User","Region","Tweet"
"76","USER_6197f95d","The Midland","Watching LOST"
"92","USER_6197f95d","The Midland","Hello World"
"94","USER_6197f95d","The Midland"," yo look at Bub Luv, he over there baby-sitting"
"95","USER_6197f95d","The Midland","J-Luv said he had in it in his freezer for 4 months"
"96","USER_6197f95d","The Midland","RT :  wheres that? - what abyss or the party?"
"97","USER_6197f95d","The Midland"," Uncle DJ been going in"
"98","USER_6197f95d","The Midland",""
"176","USER_ee551c6c","The Midland","ralphmarston: No mere opinion from someone else has the power to hold you back."
"177","USER_ee551c6c","The Midland","DoniqueCPerez: When others start engaging you in gossip, walk away. Don't be a part of the rumor."
"178","USER_ee551c6c","The Midland","RevRunWisdom: I'm a warrior not a worrier! (power thought)"
"179","USER_ee551c6c","The Midland","ralphmarston: Rejoice in the good fortune of others. Use it as a source of inspiration, and as a reason for expressing gratitude."
"180","USER_ee551c6c","The Midland","RevRunWisdom: wanna have a peaceful day.. avoid fools with all ur might.. u dont have to answer every call ya know"
"181","USER_ee551c6c","The Midland","drthema: Some people just want attention even if it's negative. Don't get caught up in their hype."
"182","USER_ee551c6c","The Midland","DoniqueCPerez: Any1 can rise abve situations if they want 2. Just DON'T SINK IN SELF-PITY. It distorts 1's mind/messes up ur chances of ..."
"183","USER_ee551c6c","The Midland","RevRunWisdom: You can have everything in life that you want if you just give enough other ppl in life what they want -(Ziglar) "
"184","USER_ee551c6c","The Midland","RevRunWisdom: Once u feel is ok to come in second, that's exactly what happens to you in life - (Kennedy)"
"185","USER_ee551c6c","The Midland","ralphmarston: Feel the reality that you already are enough, and be magnificent."
"186","USER_ee551c6c","The Midland","RevRunWisdom: Ladies:: Never let your heart cause you to forget to protect whats left of u"
"187","USER_ee551c6c","The Midland","DoniqueCPerez: There R Times U Must Close Your Heart 2 Bitter Feelings Or It Will Devour U Even Though D Person Who Caused It Is The One ..."
"188","USER_ee551c6c","The Midland","RevRunWisdom: Love is an act of endless forgiveness, a tender look at ur mate that becomes a habit"
"189","USER_ee551c6c","The Midland","DoniqueCPerez: When you help someone who needed help desparately, don't talk/brag/boast about it to your friends. Do it from your heart"
"190","USER_ee551c6c","The Midland","DoniqueCPerez: Don't get discouraged or moved by someone's perception and opinion of you"
"191","USER_ee551c6c","The Midland","RevRunWisdom: Perfectionism is self abuse to the highest degree... If eveything has to be right.. something aint"
"192","USER_ee551c6c","The Midland","drthema: Our words give things power. Speak life & not destructive thoughts about yourself and your future."
"193","USER_ee551c6c","The Midland","ralphmarston: The way you see yourself becomes the way you make yourself. How do you see yourself?"
"194","USER_ee551c6c","The Midland","DoniqueCPerez: See that door that is opened before U? WALK RIGHT THROUGH IT but lock D 1 U just walked out of. YOUR PATH HAS BEEN CLEA ..."
"195","USER_ee551c6c","The Midland","kirkfranklin: just landed. feel like talking. whatever mountains u have in your life right now- drugs, depression, divorce, money..just ..."
"196","USER_ee551c6c","The Midland","RevRunWisdom: The Lord is my Shepherd, I shall not want -(Morning meditation)"
"197","USER_ee551c6c","The Midland","RevRunWisdom: Many couple mistakenly plan a fairy tale wedding,, when the real focus should be a fairy tale life 2gether"
"198","USER_ee551c6c","The Midland","drthema: Beat the blues by counting your blessings. Things may not be perfect but we are still blessed."
"199","USER_ee551c6c","The Midland","ralphmarston: The person you are becoming is always watching the person you are right now."
"200","USER_ee551c6c","The Midland","RevRunWisdom: What is greed? Greed is when ur foolishly competitive & NEVER satisfied! ("
"201","USER_ee551c6c","The Midland","RevRunWisdom: If u want others to be happy,, practice compassion,, if u want to be happy,, practice compassion :)"
"202","USER_ee551c6c","The Midland","ralphmarston: When the going gets difficult, don't waste time looking 4 ways 2 complain.Get busy finding real, workable ways 2 make thin ..."
"203","USER_ee551c6c","The Midland","drthema: Memories are moments that are recorded in our eternity. Be mindful of how u spend your moments."
"210","USER_2929b0da","The Midland"," lol"
"211","USER_2929b0da","The Midland"," lol a bro don't judge me lol"
"212","USER_2929b0da","The Midland","Sigh, its easy to resist tho"
"213","USER_2929b0da","The Midland","Good to be in Columbus tho"
"214","USER_2929b0da","The Midland","I'm startin to think females really do bring their ugly friends to the club with them"
"215","USER_2929b0da","The Midland"," when I get bk"
"216","USER_2929b0da","The Midland","About to grab this personal pan pizza and energy drinks than I'm out"
"217","USER_2929b0da","The Midland","RT : Man I swear I wana watch Beauty and the Beast right now!// if u are interested about the best just look at "
"218","USER_2929b0da","The Midland","Why is it traffic on a sunday"
"219","USER_2929b0da","The Midland"," the first time I feel in love with hip hop is when I seen Bow Wow freestylin on BET in the basement lol "
"220","USER_2929b0da","The Midland","Rockin to Clipse"
"221","USER_2929b0da","The Midland"," did u do ur case study"
"267","USER_01b8a291","The Midland","HAHAHA OMG! I just found a baggie of weed that I hid from like four/five years ago!! Hahahaha!!!"
"268","USER_01b8a291","The Midland","errrrrrrr sorry. I feel asleep on you:("
"269","USER_01b8a291","The Midland","Lol ""John Calvin. He was a grumpy bastard"" haha"
"270","USER_01b8a291","The Midland",""
"271","USER_01b8a291","The Midland","I might come, too! ;D RT : You have no idea how long I've been wishing for Mars to play Beale Street!"
"272","USER_01b8a291","The Midland","I fucking hate the commercial/preview for Psych on the In Bruges DVD"
"273","USER_01b8a291","The Midland","YOU'RE AN INANIMATE FUCKIN' OBJECT "
"274","USER_01b8a291","The Midland","Correction, a malt vinegar base~"
"275","USER_01b8a291","The Midland"," LOL I am confused because so much is going on and I'm only half paying attention. So is brown sauce like steak sauce?"
"276","USER_01b8a291","The Midland"," lol snap. He prolly denied me, too. Lame."
"277","USER_01b8a291","The Midland"," ahhhh I don't know how much a € is to a $. XD but that is expensive! Last time I saw them, it was 20 bucks!"
"278","USER_01b8a291","The Midland","Oh dear god, I'm such a bad person. How dare I put homework before RP!"
"279","USER_01b8a291","The Midland"," ughh this week has been soo busy. But I wanna finish ours bb"
"280","USER_01b8a291","The Midland"," lol that is insane!"
"281","USER_01b8a291","The Midland","LOL gawd. I just found out that Jesse McCartney sings that Body Language song. My life will never be the same."
"282","USER_01b8a291","The Midland","Going to try and get my ipod to work before the trip. I might buy a cheap mp3 player if I have to."
"283","USER_01b8a291","The Midland"," great lineup?? Haha. I didn't see anyone I liked besides Hall and Oates"
"284","USER_01b8a291","The Midland"," hmm. I've seen Boys like Boys with hellogoodbye and the rocket summer. They're annoying xD"
"285","USER_01b8a291","The Midland"," I must see this..."
"286","USER_01b8a291","The Midland","The voice actors for that movie!! ONCE AGAIN, HUGO WEAVING AND DAVID WENHAM ARE REUNITED AND IT DOES FEEL SO GOODDDD"
"287","USER_01b8a291","The Midland"," get on and and I'll send the folder :3"
"288","USER_01b8a291","The Midland"," eeep, why?"
"289","USER_01b8a291","The Midland"," Did you download that from me? If so, that was at my show :)"
"290","USER_01b8a291","The Midland"," don't you already dress femme? That should contrast the hair"
"291","USER_01b8a291","The Midland"," Yss LOLOLOL"
"292","USER_01b8a291","The Midland",""
"293","USER_01b8a291","The Midland"," too discouraged. We'll see."
"294","USER_01b8a291","The Midland","lol at peopl not understanding that not every American can use a train. The stations are only in large metro cities."
"295","USER_01b8a291","The Midland"," I thought she looked familiar!"
"296","USER_01b8a291","The Midland","I was raised Wiccan... I'm thinking about going back to it. I lost myself for awhile"
"425","USER_942c68df","The Midland","These judges are being hard this year."
"426","USER_942c68df","The Midland"," Me too."
"427","USER_942c68df","The Midland"," Aww that sucks. If ya dont mind me asking, whats ruining your relationship?"
"428","USER_942c68df","The Midland","Might take a little Twitter absence. Debating whether to or not. Not sure yet."
"429","USER_942c68df","The Midland",""
"430","USER_942c68df","The Midland"," You joined the Denny and Kasey team...& why are the Kyle pics making you sick."
"431","USER_942c68df","The Midland"," You dont gotta get shitty."
"432","USER_942c68df","The Midland"," I listen to it every Tuesday and Thursday! And talk in the chat room. Everyone is really nice :D"
"433","USER_942c68df","The Midland"," Yea!! Thank you. I have been looking everywhere to find out who was racing! :D"
"434","USER_942c68df","The Midland"," Hahaha!!"
"435","USER_942c68df","The Midland","Ur not gonna meet me anywhere."
"436","USER_942c68df","The Midland"," I do. I got the 2009 one signed by  when I met him."
"437","USER_942c68df","The Midland","Ur an ass."
"438","USER_942c68df","The Midland","Time for WWE Superstars! Where's ? :)"
"439","USER_942c68df","The Midland","HBK DVD! :) Gotta buy this!"
"440","USER_942c68df","The Midland","Damn. This is a pretty good match."
"441","USER_942c68df","The Midland","Going to bed. School. Some people are really crazy. I mean wow. Bye"
"442","USER_942c68df","The Midland"," I didnt need to talk to her about anything cause there was nothing to talk about. I had stuck up for this girl when no one.."
"443","USER_942c68df","The Midland"," I no. Its just shocking. Like after all I had done for her, she turns around and starts shit with me. I knew what ya meant"
"444","USER_942c68df","The Midland"," Ha! Me too! Bristol is Kyle's House!"
"445","USER_942c68df","The Midland","Im really tired. TTYL everyone."
"446","USER_942c68df","The Midland","YES!  startin 2nd!  starting 5th and Taylor Malsam starting 11th! :)"
"447","USER_942c68df","The Midland","Oh god. My sister is driving....."
"448","USER_942c68df","The Midland","Truck Set Up time!"
"449","USER_942c68df","The Midland","Woot!"
"450","USER_942c68df","The Midland","GO !!!!!!! :) Also  and  :)"
"451","USER_942c68df","The Midland","WOO! GREAT SAVE TODD!! HOLY SHIT! That was some dirt racin shit!"
"452","USER_942c68df","The Midland"," Aww :)"
"453","USER_942c68df","The Midland","We need a caution!"
"454","USER_942c68df","The Midland","Alright gotta go. Phones about to die. :( Bye everyone"
"455","USER_942c68df","The Midland","Good Pick Kyle: KYLE BUSCH!"
"456","USER_942c68df","The Midland","Gonna eat some oodles and noodles and then start on the homework."
"457","USER_942c68df","The Midland"," I am!! Kyle Busch is gonna win today! :)"
"458","USER_942c68df","The Midland","Yea!"
"459","USER_942c68df","The Midland","Damn u Robby! Well, can't say I'm surprised he's the first caution..."
"460","USER_942c68df","The Midland","How about this ! P7 now!"
"461","USER_942c68df","The Midland"," Haha! I would cause a riot!"
"462","USER_942c68df","The Midland","SHIT!!!! Kyles gotta vibration!!!!!!"
"463","USER_942c68df","The Midland","2 all over Denny's ass"
"464","USER_942c68df","The Midland","SHUT UP LARRY. NO FUCKIN REMINDERS ABOUT LAST YEAR!"
"465","USER_942c68df","The Midland"," This one has just seemeed so long. Maybe cause our boy is havin problems :("
"466","USER_942c68df","The Midland","Oh no! Jeff!"
"467","USER_942c68df","The Midland"," Same here. These tires are fucked up. I'm ready for a tire rant and be done with this race until Chase time."
"468","USER_942c68df","The Midland"," Yea. Its making me so mad! I hope they get its worked out!!"
"469","USER_942c68df","The Midland","Thunder Valley next week!!! KYLE'S HOUSE!!!"
"470","USER_942c68df","The Midland","Steve....."
"471","USER_942c68df","The Midland","Another disappointing race. Get ur shit together."
"472","USER_942c68df","The Midland","I don't want Juan to win. Come on Kurt...can't believe I'm roting for him"
"473","USER_942c68df","The Midland","I think it was payback. He finally got what he's been dishing out. Not saying that I'm glad that he flipped. Brad is a dick."
"474","USER_942c68df","The Midland","Come on MATT!!!"
"475","USER_942c68df","The Midland","Why the fuck would they suspend Carl. If they do, I'm gonna fuckin riot! Anybody else with me? "
"476","USER_942c68df","The Midland"," I'm actually excited to see what u have to say!!!! :)"
"956","USER_683250c0","The Midland","I'm on yachts mothafucka, come see me"
"957","USER_683250c0","The Midland","""when I was 5 my favorite movie was the gremlins aint got shit to do wit this but I just thought that I should mention"" "
"958","USER_683250c0","The Midland",""
"959","USER_683250c0","The Midland","but don't get it fucked up, niggas get it poppin in the dorms "
"960","USER_683250c0","The Midland","How u feelin? Bet u i can make u feel better"
"961","USER_683250c0","The Midland","Runnin off of 3 hours of sleep is not cool."
"962","USER_683250c0","The Midland","Had fun last night. My girl  is zipped up in a duffle bag somewhere. She not waking up till like 3."
"963","USER_683250c0","The Midland"," is the only nigga I know that will see niggas bout shoot each other and wanna get in the crossfire "
"964","USER_683250c0","The Midland","Good Morning babe "
"965","USER_683250c0","The Midland","Somewhere  is thousands of feet in the air bitchin right now. Have fun out Vegas my nigga. Knock on a nigga door!"
"966","USER_683250c0","The Midland","Bitch from Baylor is manly so therefore her punches come across manly. But sinc she a biddy she got 2 games "
"967","USER_683250c0","The Midland","Motorola Backflip comes out tomorrow. U want one? Come fuck wit me."
"968","USER_683250c0","The Midland","Color contacts "
"969","USER_683250c0","The Midland","10 straight for the Mavs....while you niggas losing to Bobcats? "
"970","USER_683250c0","The Midland","RT : i despise talking on the phone but I call her everyday."
"971","USER_683250c0","The Midland","""They say I'm the next to blow, I guess I'll be the next to go, 100 deep to BET wit choppas at the award show"" "
"972","USER_683250c0","The Midland","It's a movie in here!!!"
"973","USER_683250c0","The Midland","Feelin like I'm back"
"974","USER_683250c0","The Midland","O yeah...no wife'n in the club, gimme 20 dollars!!!......matter of fact these DC niggas owe me like a stack if that's the case."
"975","USER_683250c0","The Midland","RT : My dad be exxagerating his importance in life rocking all these bluetooths&lt;~~~"
"1055","USER_1c8d2a8d","The Midland","RT : Lmao..I'm such a DaddyFucker««me too..."
"1056","USER_1c8d2a8d","The Midland",""
"1057","USER_1c8d2a8d","The Midland"," if you leave me I'd kill you..."
"1058","USER_1c8d2a8d","The Midland","RT : I hate being the one with the remote in a room full of people watching TV. There's 2much pressure. "
"1059","USER_1c8d2a8d","The Midland","Dear Hair,, please accept my apology for havin someone put those scissors to you...just grow back pleeeaaassee "
"1060","USER_1c8d2a8d","The Midland","RT : I want sme white chocolate covered pineapples "
"1061","USER_1c8d2a8d","The Midland","RT : Bitches say they can't be seen ...aint nobody lookin though!!"
"1062","USER_1c8d2a8d","The Midland","No more will you be the one,,that's what you tell everyone around you..But you know they've heard it all before..."
"1063","USER_1c8d2a8d","The Midland","RT : RT : Lust------Infatuation------Love "
"1064","USER_1c8d2a8d","The Midland","I'm following waaaayyyyy too many twiggas...bouta unfollow some dweebs!"
"1065","USER_1c8d2a8d","The Midland","  BW3's...but somebody in my timeline just tweeted about Quaker stake...now I'm fiendin for that!"
"1066","USER_1c8d2a8d","The Midland","  well I aint driving so I have no choice but to be down for wherever we goin..lmao"
"1067","USER_1c8d2a8d","The Midland"," I know silly!! I wasn't asking you to,,I was tellin you that you already were..lol"
"1068","USER_1c8d2a8d","The Midland","RT :  lol I already kno they a b at yo neck««I know..smh"
"1069","USER_1c8d2a8d","The Midland","RT : If u gotta keep spittin on da pussy during sex 2 keep it wet.. dat mean u aint doing nuthin 4 her"
"1070","USER_1c8d2a8d","The Midland","RT : "
"1071","USER_1c8d2a8d","The Midland","RT : "
"1072","USER_1c8d2a8d","The Midland","RT : "
"1073","USER_1c8d2a8d","The Midland","RT : ""He a nigga w/ pride, I shouldn't have done no ish like tht!"""
