"","User","Region","Tweet"
"1085","USER_e96c1548","New England"," I'm cool just getting excited about my vacation next month. When are you coming back home"
"1086","USER_e96c1548","New England"," Hey now you can say Shoot I got 3 kids hahahahahaha"
"1087","USER_e96c1548","New England"," www.classic-wbs.net"
"1088","USER_e96c1548","New England","     Morning"
"1089","USER_e96c1548","New England"," I'm doing trying to do this diet thing but its so hard lol"
"1090","USER_e96c1548","New England","RT : One of these young yamps on this "
"1091","USER_e96c1548","New England"," LOL thanks"
"1092","USER_e96c1548","New England","Glad I'm going to the doctor tomorrw"
"1093","USER_e96c1548","New England"," I just texted her. She knows I never forget her bday"
"1094","USER_e96c1548","New England"," I have sinus issues"
"1095","USER_e96c1548","New England"," I'm ok went to the doctors my sinuses are flared up"
"1096","USER_e96c1548","New England"," nothing much just got back home. You've been working hard so that =2 pies lol"
"1097","USER_e96c1548","New England","RT : wishes life came with a remote to ◄◄ rewind ► play ▌▌pause ►► fast forward ... i would've avoided a few things....Aaaamen"
"1098","USER_e96c1548","New England"," I leave on the 9th and come back the 13th"
"1099","USER_e96c1548","New England"," Hey girl has it been this week"
"1100","USER_e96c1548","New England"," Just now Nia is just laying on my bed like she doesn't have to leave in 15 mins. And her hair wasn't done"
"1101","USER_e96c1548","New England"," Morning sis"
"1102","USER_e96c1548","New England"," Me too wish I was 20 again I'm starting to feel my age hahaha"
"1103","USER_e96c1548","New England"," Yes I know thanks"
"1104","USER_e96c1548","New England","RT : RT : lIm trying to work this BB«- welcome to "
"1105","USER_e96c1548","New England"," just saying hello"
"1106","USER_e96c1548","New England"," Hey pretty lady"
"1107","USER_e96c1548","New England"," I just talked to Samantha today and she's waiting to hear back. I hope they let me come April 6 because its my birthday"
"1108","USER_e96c1548","New England"," LOL you'll get use to it"
"1109","USER_e96c1548","New England"," lol wow. I hope so too. I leave for Miami that friday for a few days. I so need a break. Feels like I'm running on fumes"
"1110","USER_e96c1548","New England","Good Morning!!!"
"1111","USER_e96c1548","New England"," Hey Kimmy"
"1112","USER_e96c1548","New England"," I didn't do much. My 2 older kids were gone so me and my baby boy stayed at my sister's house all day. Oh got my brows done"
"1113","USER_e96c1548","New England","RT : One of the nicest things to see in life is the manifestation of a prayer being answered for SOMEONE ELSE. :)"
"1114","USER_e96c1548","New England"," My oldest will be 10 on the 21st and my boys are 6&5. I got fixed after the last 1."
"2568","USER_5e89de51","New England","Damn twiggas what's good .. Ileft yall niggahs hangin today"
"2569","USER_5e89de51","New England","RT :  nah I'll tale the two Albers tho owww owww haha&lt;~ spell check bro that's y igotta berry sht dnt change wrds"
"2570","USER_5e89de51","New England"," that niggah didn't reply skibb ?"
"2571","USER_5e89de51","New England"," hahaha yeah iight ..shiiiiitttt don't get me started girrrrrlllll dnt do it"
"2572","USER_5e89de51","New England"," that shts dumb hard .. idef gotta go harder wit my note takin tho"
"2573","USER_5e89de51","New England","Shortie got snuffed lmfaooo"
"2574","USER_5e89de51","New England","wassup wassup !"
"2575","USER_5e89de51","New England"," 3 son !"
"2576","USER_5e89de51","New England","Damn irealized these fagg jipped me ! Cz I bought 20pc for 6billz bt if I had askd for 5 orders of the 4pc. It wudve been $5 ..owell"
"2577","USER_5e89de51","New England","RT : RT  Y do I feel like I'm bein watched &lt;&lt; *khaled voice* FEDS IS WATCHINNNN NIGGAAAa&lt;~lmao real sht bro"
"2578","USER_5e89de51","New England"," psssh u prolly came cz ur fatass was hungry not to see lil ol hypp : ( lol but umm from what I kno u jus missd me"
"2579","USER_5e89de51","New England","Yo u did the app "
"2580","USER_5e89de51","New England","I'm witit"
"2581","USER_5e89de51","New England"," lmao wow that's fuckd up"
"2582","USER_5e89de51","New England","East coast rappers r def better then west coast rappers"
"2583","USER_5e89de51","New England",""
"2584","USER_5e89de51","New England"," lol imma show u wat eggplants r tonight"
