"","User","Region","Tweet"
"2337","USER_dc823664","The North","Calling and singing 12play to me......Best thing in the world!!!"
"2338","USER_dc823664","The North"," sis what's up"
"2339","USER_dc823664","The North","RT :  pray on it.."
"2340","USER_dc823664","The North","Exactlt!! RT : Morning peoples!!! It's definately "
"2341","USER_dc823664","The North"," go do something with ya life."
"2342","USER_dc823664","The North","Like how some ppl feel about biracial relationships......that's how I feel about cute men tlkn to ugly women"
"2343","USER_dc823664","The North","Lol u a fool RT  I hate to say that I had a ""plan B"" But I did, and im on to the next 1."
"2344","USER_dc823664","The North","Good mornin yall!!!      "
"2345","USER_dc823664","The North"," I'm hungry"
"2346","USER_dc823664","The North"," yay!!!!"
"2347","USER_dc823664","The North","That's good!!!!!!!!!!! "
"2348","USER_dc823664","The North"," lol u scared me soooo never mind!!!!!"
"2349","USER_dc823664","The North",""
"2350","USER_dc823664","The North"," we r just gonna conclude that Phil was lying on him!!!!"
"2351","USER_dc823664","The North","Lol yes I am!!! RT   um hw is it that ur moving from dist elder 2 bishop n MN, u yet nt saved! whas up wit this"
"2352","USER_dc823664","The North"," nope I'm waiting on"
"2353","USER_dc823664","The North","My fam keeps calling me a sinner!!!!!!"
"2354","USER_dc823664","The North"," just woke up"
"2355","USER_dc823664","The North"," where can I get some here in Detroit"
"2356","USER_dc823664","The North"," u have noelle "
"2357","USER_dc823664","The North"," dm it. I don't have my bb"
"2358","USER_dc823664","The North","Yes RT  this is the 2nd guy I've met in a row with small hands! What's up with that? Should I be concerned about his small hands"
"2359","USER_dc823664","The North"," no arguing boo....all smiles"
"2360","USER_dc823664","The North","Agreed RT   what you need is 5 growth spurts....."
"2361","USER_dc823664","The North","En route RT : When in doubt, go spend money....bout to head to the mall SMH"
"2362","USER_dc823664","The North"," she just wants to represent u well tomorrow......"
"2363","USER_dc823664","The North"," very cute cuz"
"2364","USER_dc823664","The North","Was gonna go party with my fave Alphas but Im going to bed!!! Have fun yall"
"2365","USER_dc823664","The North","Sooo my plan to hit Churchills at midnight FAILED......I just woke up. Smdh"
"2366","USER_dc823664","The North","Man idk but this is crazy RT :  u 1 SleepY Ass Person! LoL Wha Is Wrong Wit u?!"
"2367","USER_dc823664","The North","No bueno RT : Hi my name is Ashley and I'm an alcoholic...."
"2368","USER_dc823664","The North"," whats wrong with you?????"
"2369","USER_dc823664","The North","Just hit the button! RT  Some of these tweets are just for you to read just cuz I know ur going to read them unofficial follower"
"2370","USER_dc823664","The North","RT : It's always a motive for everything......"
"2371","USER_dc823664","The North"," lol nope!!!!"
"2372","USER_dc823664","The North","A mess RT :  You Got That Right & Hell They Might Not Even Be Worth The Sex, Theyre Jus The Quickest Person 2 Get 2"
"2373","USER_dc823664","The North"," she was with someone I'm cool with but I wasn't feeling the scene lol so I left"
"2374","USER_dc823664","The North"," Yessss"
"2375","USER_dc823664","The North"," morning"
"2376","USER_dc823664","The North"," LOL goofy just goofy!!"
"2377","USER_dc823664","The North"," lol....I mean really how can they get upset with me?!"
"2378","USER_dc823664","The North"," Naw not me. U sat in one spot all night"
"2379","USER_dc823664","The North","Smh no I'm not. Shut up before I whoop u..... RT : man  is crazyyyyyyyyy"
"2380","USER_dc823664","The North"," I mean I sat in one spot all night"
"2381","USER_dc823664","The North","Was I? RT :  you being under the influence..."
"2382","USER_dc823664","The North","A work in progress.....sometimes I wish Jesus would snatch me up and say look lil girl enough is enough"
"2383","USER_dc823664","The North"," lol I was just playing with u geesh"
"2972","USER_82f50279","The North"," is there anything you can do to make that guy pay for it ?"
"2973","USER_82f50279","The North","I'm not affected by Verizon outage in Minnesota"
"2974","USER_82f50279","The North"," you prolly want to wait for Tour2/9650/bold it shuld be comin soon"
"2975","USER_82f50279","The North"," go for it man hope you will :D"
"2976","USER_82f50279","The North"," what's up ?"
"2977","USER_82f50279","The North"," just having late lunch, what about you big plans for tomorrow?"
"2978","USER_82f50279","The North"," agree 100% with you on that bro :D"
"2979","USER_82f50279","The North"," awesome :D"
"2980","USER_82f50279","The North","Morning tweeps"
"2981","USER_82f50279","The North"," thx for "
"2982","USER_82f50279","The North"," morning how was your trip?"
"2983","USER_82f50279","The North"," lmao i was just kidding ya&lt; but on the other hand why don't ya?;)"
"2984","USER_82f50279","The North"," or you can try Master Control BlackBerry program I have a link for it if you want"
"2985","USER_82f50279","The North"," you are party animal lol :D"
"2986","USER_82f50279","The North"," oh what do you expect from Walmart lol"
"2987","USER_82f50279","The North"," :D"
"2988","USER_82f50279","The North"," yeah I know my first was 8130 pearl now Tour waiting for something new lol"
"2989","USER_82f50279","The North"," btw how long ago that was ?"
"2990","USER_82f50279","The North"," Morning BT hope you have a nice day too :)"
"2991","USER_82f50279","The North"," oh i hope it will be soon for you :D"
"2992","USER_82f50279","The North"," good for you enjoy the moment cause time fly my friend ;)"
"3034","USER_1e9fb0be","The North","Def did... Lol RT :  omg lol u def didnt..."
"3035","USER_1e9fb0be","The North","U fucking jive turkey..."
"3036","USER_1e9fb0be","The North","Bout to go get bout four apple pies from McDonald's....."
"3037","USER_1e9fb0be","The North","I feel you fuck that playing both sides bs RT : Im at the point where rather you with me or your against me.... theres no in between"
"3038","USER_1e9fb0be","The North","I hate hypocrites....."
"3039","USER_1e9fb0be","The North","I probaly should talk to him... Cause low key I'm still bouncing back my damn self... Lol"
"3040","USER_1e9fb0be","The North","I really have a problem with the word boyfriend.... That damn word jus pisses me off..."
"3041","USER_1e9fb0be","The North"," Man I been told him football come before her...."
"3042","USER_1e9fb0be","The North"," Lol I know but everybody dnt get a shirt... Lol"
"3043","USER_1e9fb0be","The North"," Hell yea get on will before the machine stop... Lmmfao"
"3044","USER_1e9fb0be","The North","Damn I love thay girl she brought me some more apple pies without me asking...."
"3045","USER_1e9fb0be","The North","Yea but she think she slick tho... I'm nt falling for that bs... Nice try tho..."
"3046","USER_1e9fb0be","The North","Just bout to laugh everything else off today...."
"3047","USER_1e9fb0be","The North","Bout to throwback a couple of shots I need to calm my nerves "
"3048","USER_1e9fb0be","The North","I feel like hurting somebody really bad... Ill just take another shot and ill feel better..."
"3049","USER_1e9fb0be","The North","Well on the bright side 11 more days till the Jigga concert...."
"3050","USER_1e9fb0be","The North"," Like I really know it by heart...."
"3051","USER_1e9fb0be","The North"," Lol will do"
"3052","USER_1e9fb0be","The North",""
"3053","USER_1e9fb0be","The North",""
"3054","USER_1e9fb0be","The North",""
"3055","USER_1e9fb0be","The North","RT : "
"3056","USER_1e9fb0be","The North"," Yea u just nasty (mr brown voice) lol"
"3057","USER_1e9fb0be","The North"," But what u trying to drink...."
"3058","USER_1e9fb0be","The North","Aye yall  done crawled from out the cave she was hiding in..."
"3059","USER_1e9fb0be","The North"," Naw I just needed to laugh... A nigga kinda down..."
"3060","USER_1e9fb0be","The North"," She really working my nerves nt the ex the other one...."
"3061","USER_1e9fb0be","The North","Starting to see the light at the end of the tunnel.... Its still far a ahead but I see it now.."
"3062","USER_1e9fb0be","The North"," Lol ur a loner"
"3063","USER_1e9fb0be","The North","RT : "
"3064","USER_1e9fb0be","The North","Lol RT : i coulda swore  was supposed to be locked up!"
"3065","USER_1e9fb0be","The North"," He will be one next month I think..."
"3066","USER_1e9fb0be","The North"," Ok u bastards...."
"3067","USER_1e9fb0be","The North","But on some real shit all I've been hearing lately is... Oh I forgot u a Gemini... WTH is that suppose to me..."
"3068","USER_1e9fb0be","The North","Indeed it is.... RT : today is looking like a lazy day..."
"3069","USER_1e9fb0be","The North","8 more days till Jigga concert...."
"3070","USER_1e9fb0be","The North"," Shit probably already had a first class ticket there anyway... Lol"
"3071","USER_1e9fb0be","The North","I figured since you put yo boobs all in my Thursday night that's the least I could do.... Lmao"
"3072","USER_1e9fb0be","The North"," I figured since you put yo boobs all in my face Thursday night that's the least I could do... Lmao"
"3073","USER_1e9fb0be","The North","If they call and ask bout this baby one more time I kno something...."
"3074","USER_1e9fb0be","The North"," Whatever..."
"4175","USER_fa8d0940","The North"," shit at work right now..yu??"
"4176","USER_fa8d0940","The North"," hell yeah...nd how much yu got??"
"4177","USER_fa8d0940","The North","RT : Dis nigga said he eat so much pussy he b gainin weight wtf??&lt;&lt;Wtf lmao"
"4178","USER_fa8d0940","The North"," long as yu get it done on time lol"
"4179","USER_fa8d0940","The North"," u high lol?"
"4180","USER_fa8d0940","The North",""
"4181","USER_fa8d0940","The North"," lol no mine is...wens urs??"
"4182","USER_fa8d0940","The North"," on the 14th of MARCH!! Mines is lol"
"4183","USER_fa8d0940","The North"," yu hoe..yu sound like tht crazy girl at tht party last saturday the one wit the mini skirt on wit snow on the ground"
"4184","USER_fa8d0940","The North","Man I been tweetin on fb all day lol twitter be killin my battery smh"
"4185","USER_fa8d0940","The North","That sucker turned my mouth all red"
"4186","USER_fa8d0940","The North"," yu already kno...I might cop that 0 this weekend lol"
"4187","USER_fa8d0940","The North"," lol oh yu mad huh"
"4188","USER_fa8d0940","The North"," lol so how it happen"
"4189","USER_fa8d0940","The North"," lol I dnt get it"
"4190","USER_fa8d0940","The North"," lol fukk yeah I'm finna get a 0"
"4191","USER_fa8d0940","The North","That niggah  crazy lmao"
"4192","USER_fa8d0940","The North",""
"4193","USER_fa8d0940","The North"," shit havin a Wake n Bake"
"4194","USER_fa8d0940","The North"," nigga yu kilt me lastnight lol"
"4195","USER_fa8d0940","The North"," lol ok den so wat it taste like"
"4986","USER_20cbbafe","The North"," I think Ruby is a cool name 4 the phone even if its not Red AP!! That's a regal name"
"4987","USER_20cbbafe","The North"," yep I sure was lol"
"4988","USER_20cbbafe","The North"," thanks I'm gonna text her 2night & let her know we gotta show you some love :-)!! Thursday is a good TV night so u lucky lol"
"4989","USER_20cbbafe","The North"," Black Mamba was my rap name in hs....I was "
"4990","USER_20cbbafe","The North","Ha Ha Ha!! No one can't tell me that karma doesn't happen.... Oh it does lol. & then thoughts go back 2 when the shoe was on the other foot!"
"4991","USER_20cbbafe","The North"," im good. Tryna stick it out in Michigan but applying for jobs else where as well."
"4992","USER_20cbbafe","The North"," don't b tryna interigate me if u must kno I meant the Pretty Pad lmbo but I have LS my nephew & friends who stay n P Place"
"4993","USER_20cbbafe","The North"," u not the only 1 I kno over there kid lol. They just nice & invite me over sometimes."
"4994","USER_20cbbafe","The North","RT : Got the job! "
"4995","USER_20cbbafe","The North"," Hey Brother ;-)! Aww we really are meant 2 b resend me ur pin new phone :-)! Gotta let u n on my bday plans & thats whats up I cant"
"4996","USER_20cbbafe","The North","RT : RT : Relationships are always the best when your laughing and have'n good sex ...AMEN! and often lol"
"4997","USER_20cbbafe","The North"," who cares that you need a good meal"
"4998","USER_20cbbafe","The North"," porkchops I would say or tilapia??"
"4999","USER_20cbbafe","The North","RT : "
"5000","USER_20cbbafe","The North","RT : RT : I'm glad I wasn't on twitter when I was in college lol( hahahahaha)"
"5001","USER_20cbbafe","The North",""
"5002","USER_20cbbafe","The North"," nope thats my boo Im listening 2 eyes better not wander she reminds me of my cousin who passed so listenin 2 her makes me :-)"
"5003","USER_20cbbafe","The North"," I'm over here grooving its keeping me motivated and on track wit these jobs lol I'm listening 2 she don't by Leyota now"
"5004","USER_20cbbafe","The North","At Cinco de montho on shot 1 of the 5 in front of me pmg lol its gonna be a long night"
"5005","USER_20cbbafe","The North","Man  is the best bruh in the world making sure I got home safe. Came home realized I was alone now I'm sobering up"
"5006","USER_20cbbafe","The North","Lmbo  said I was down real bad but I rebounded well was dancing & everything. Lol his wording is so funny "
"5007","USER_20cbbafe","The North"," I don't babe but if I c a cute 1 4 u I will let u know :-)!!! I love u & miss ur face me Myra! Really wanna c u (all homo)lol"
"5008","USER_20cbbafe","The North","RT : I STILL can't swim, don't plan on learning either. If I drown, I'mma just throw the dueces while Im going down. "
"5009","USER_20cbbafe","The North","Good morning!!! Any suggestions on good churches 2 visit in the ypsi belleville maybe even Canton area? Pref Baptist or Non Denomination"
"5010","USER_20cbbafe","The North","I'm so happy 4 my twin on her engagement ♥!!! She truly deserves this blessing! 1 shade down 10 more 2 go :-)! No telling whose next lol!"
"5011","USER_20cbbafe","The North","RT : "
"5739","USER_a868fd4f","The North","So I'm smokin a blunt, drivin down 7mi, blastin Big Booty Judy with tint on my windows. A cop asks me to pull over....to get my number -_-"
"5740","USER_a868fd4f","The North","So now me and this cop are play racing on 7mi and he let me win. Lmao."
"5741","USER_a868fd4f","The North"," the most lol"
"5742","USER_a868fd4f","The North","RT :  does that..sorry sis u r hilarious! : "
"5743","USER_a868fd4f","The North","I AM MUCH NICER THAN THAT RT PEOPLE! Lol"
"5744","USER_a868fd4f","The North","How you durrrrn?"
"5745","USER_a868fd4f","The North"," yum!"
"5746","USER_a868fd4f","The North","Lmao  just fucked her elbow up and kept talking...shut up and react haha"
"5747","USER_a868fd4f","The North"," lol call em out"
"5748","USER_a868fd4f","The North"," you weakling."
"5749","USER_a868fd4f","The North"," lmao"
"5750","USER_a868fd4f","The North","I feel like I should stop eating but its not working."
"5751","USER_a868fd4f","The North"," lmfao it would be hilarious if u texted back like "
"5752","USER_a868fd4f","The North"," i hav to sign up for an account...i can't buy any apps without it :("
"5753","USER_a868fd4f","The North"," hell yea. N she be textin u from it thinkin u kno who the hell she is  "
"5754","USER_a868fd4f","The North","I have got to be the world's dumbest asthmatic. I haven't seen my inhaler in forever."
"5755","USER_a868fd4f","The North",""
"5756","USER_a868fd4f","The North",""
"5757","USER_a868fd4f","The North","I'd twitpic how cute Diddy looks laying on my tummy buuuuut I've been nude tweetin. Sowwie on the moon we wear no pants =)"
"5758","USER_a868fd4f","The North",""
"5759","USER_a868fd4f","The North","I probably ruffled a few feathers. Lol. Jus know that I am attacking the coon mindset"
"5760","USER_a868fd4f","The North"," stop making up fake ass twitters! Lmao  why did my dumb ass click the name?"
"5761","USER_a868fd4f","The North","I wonder if  would let me know if I left my ID at the traphouse or just impersonate me at liquor stores. Hmm..."
"5762","USER_a868fd4f","The North"," haha i just found it!"
"5763","USER_a868fd4f","The North","CInco de Montho  Cantina with  and  =)"
"5764","USER_a868fd4f","The North","Where is my caaaaaaar"
"5765","USER_a868fd4f","The North","RT : drunk. its only 8:30.....does this mean i have a problem? lol"
"5766","USER_a868fd4f","The North","   do u guys love meee?"
"5767","USER_a868fd4f","The North"," no. Don't stop. "
"5768","USER_a868fd4f","The North"," safe?"
"5769","USER_a868fd4f","The North","RT BRONZE ELEGANCE | SUNDAY III.XIV.MMX | MICHIGAN UNION BALLROOM | Doors Open :30PM SHOW BEGINS :00PM | AFTER PARTY  plzRT"
"5770","USER_a868fd4f","The North","Denieeeed lol"
"5771","USER_a868fd4f","The North","I love , she vacuumed out my car!"
"5890","USER_26d7e6c4","The North"," OMG! I'd die to see that!"
"5891","USER_26d7e6c4","The North","  I agree with tash, my thing was good too! Props to youu!"
"5892","USER_26d7e6c4","The North","RT : PREACH!! RT : Facebook out, twitter in."
"5893","USER_26d7e6c4","The North","So I'm sick but I have to go to hell week one, sorry if I get anyone sick"
"5894","USER_26d7e6c4","The North","I cannot wait for opening dayy!"
"5895","USER_26d7e6c4","The North","RT : Gossip girl comes back in five dayss. Yay!"
"5896","USER_26d7e6c4","The North"," hellla yeah! Wanna go?!"
"5897","USER_26d7e6c4","The North","Pitchinggg"
"5898","USER_26d7e6c4","The North"," make it 18! Add mine tooooo!"
"5899","USER_26d7e6c4","The North","I wish I was healthy again."
"5900","USER_26d7e6c4","The North"," I know exactly how you feel."
"5901","USER_26d7e6c4","The North","RT : Really not geeked for my forensics test tomorrow."
"5902","USER_26d7e6c4","The North","Demetri time!"
"5903","USER_26d7e6c4","The North","Why is there no new demetri martin?"
"5904","USER_26d7e6c4","The North"," likes girls, Like Cheesy"
"5905","USER_26d7e6c4","The North","Burning a cd real quick for the ride to the mall. "
"5906","USER_26d7e6c4","The North",""
"5907","USER_26d7e6c4","The North"," I hate youuuuu! Shut up!"
