"","User","Region","Tweet"
"1","USER_79321756","Pacific West","RT : IF SHE DO IT 1 MORE TIME......IMA KNOCK HER DAMN KOOFIE OFF.....ON MY MOMMA&gt;&gt;haha. "
"2","USER_79321756","Pacific West","  okay:) lol. Saying ok to both of yall about to different things!:*"
"3","USER_79321756","Pacific West"," yea ok..well answer that cheap as Sweden phone you came up on when I call."
"4","USER_79321756","Pacific West","A sprite can disappear in her mouth - lil kim hmmmmm the can not the bottle right?"
"5","USER_79321756","Pacific West","Lmao! I still get txt when AJ tweets before they even post (mistake) ha. And the one I just got has me dyin!  what's ur issue!"
"6","USER_79321756","Pacific West","Alright twitters tryna take me over!"
"7","USER_79321756","Pacific West","Just got to work. Got my pizza bagel and my raspberry iced tea:). Pulling up my systems..interview not til 2. I just wanna get it done!:D"
"8","USER_79321756","Pacific West","Just got a txt from my cousin! Yes! So happy for you  let's get it!"
"9","USER_79321756","Pacific West","Why is this woman in the bathroom everytime I'm in the bathroom..!? Stinkn up allll the stalls! Ha."
"10","USER_79321756","Pacific West"," shit they everywhere.."
"11","USER_79321756","Pacific West","I said u got a swisher from redmond!? He said nah kirkland! Lol..ooooooooOkay!"
"12","USER_79321756","Pacific West","Lmao!:) havin a good ol time after work! Unexpected! "
"13","USER_79321756","Pacific West","On my way to get  yeee! She want some of this strawberry! Sexy!"
"14","USER_79321756","Pacific West","Make sure ya frisk me good..check my panties and my bra.."
"15","USER_79321756","Pacific West","RT : RT : RT : Man I don't feel like gettin up &gt;&gt;just take a nap.--no I can do this&gt;&gt;Lol. Okay."
"16","USER_79321756","Pacific West","Ridin."
"17","USER_79321756","Pacific West","Oh I'm late"
"18","USER_79321756","Pacific West","Ha just got home"
"19","USER_79321756","Pacific West","Hey  I know I'm hella late but this is my first twEet of the day so feel special:). Lol. Hope your having a good day!"
"20","USER_79321756","Pacific West","My phones been dead for all day. Got some txts and vms. My guys from work came through! Lovin my life for da most part:)! "
"21","USER_79321756","Pacific West","RT :  I will boo, I'll just jump on her LOL&gt;&gt;k promise:("
"22","USER_79321756","Pacific West","Bout to check my work email again. Funn we had to do shift bids and today we got the results but I'm off..co workers hitn me to tell me"
"23","USER_79321756","Pacific West","Yeeeee founf my letter. Now waiting for this phone call. I need some good news asap. Thinkin bout ladies night tonight..its been a while."
"24","USER_79321756","Pacific West",""
"25","USER_79321756","Pacific West","I'm really doing good. Ima stick to this. Well ima try my best. And I really am going to TRY. Not just say I'm tryin.."
"26","USER_79321756","Pacific West","RT : RT : out of line. • Very"
"27","USER_79321756","Pacific West","RT : I have no damn discipline.&gt;&gt;Lol. "
"28","USER_79321756","Pacific West","RT :  haha you're stupid...&gt;&gt;Nope I'm smart:)"
"29","USER_79321756","Pacific West","Just talkin too for real. Ha."
"30","USER_79321756","Pacific West","Regardless of the kind of relationship you and your parents have they recognize you..mines are both proud of me..and I will keep that goin."
"31","USER_79321756","Pacific West","Waiting for my lil bro to get home..this guy is spoiled. After wrestling practice he had his god mom take him to red robins like moms does.."
"32","USER_79321756","Pacific West"," haha as you are to me!"
"33","USER_79321756","Pacific West","RT : She hates PORK  hahahahaha"
"34","USER_79321756","Pacific West","Nigga did I eat today?! Lol. - I wanna watch that katt."
"35","USER_79321756","Pacific West","All my bitches love me..all my all my bitches love me.."
"36","USER_79321756","Pacific West"," boy stop. Lol."
"37","USER_79321756","Pacific West","RT :  so your trying to say im pressed. "
"38","USER_79321756","Pacific West",""
"39","USER_79321756","Pacific West",""
"40","USER_79321756","Pacific West","Time to go..walkn out the dooe to handle some major family bi cause we do this."
"41","USER_79321756","Pacific West","Oh damn it! I almost forgot! I'm taking my guy out top lunch for his bday later! I really need to get things rollin!"
"42","USER_79321756","Pacific West",""
"43","USER_79321756","Pacific West","RT : "
"44","USER_79321756","Pacific West",""
"45","USER_79321756","Pacific West","RT : Hope y'all like my new profile pict "
"46","USER_79321756","Pacific West","RT : If I can't "
"47","USER_79321756","Pacific West","RT : RT : Thank you lord for this day... Time to bust moves!!"
"48","USER_79321756","Pacific West","Suga free goin hard right now!"
"49","USER_79321756","Pacific West","Me and moms text:) : Congratulations babe im so happy 4 you.&gt;&gt;Thanks! We gonna be alright! Keep ur head up!"
"50","USER_79321756","Pacific West","Fuck it! All nighter! I'm celebrating my life tonight! So happy!"
"51","USER_79321756","Pacific West","RT :  hey now! Leave me, and my big eyes alone LOL&gt;&gt;lol NO! :*"
"52","USER_79321756","Pacific West","Eyebrows did! Rollthisrightquick. Haha. Dmnds"
"53","USER_79321756","Pacific West","RT : ..funny how things can change in a matter of seconds&gt;&gt;and shit was all good a week ago!"
"54","USER_79321756","Pacific West","RT : Beautiful day! Headin to LA&gt;&gt;beautiful day in the town too! Have fun!"
"55","USER_79321756","Pacific West","Hey! RT : Lol! Virgo 4 life! RT : "
"56","USER_79321756","Pacific West","RT :  I didn't say anything about cake...? Lol&gt;&gt;lol but she makes one err week so I know there's one! Duh!"
"57","USER_79321756","Pacific West","I work. You work! And we double dat up! "
"58","USER_79321756","Pacific West","Haha. We had to stop by my grandmas cause my lil bros mouth started bleeding hella! Ugh! She pulled that tooth out! Gotta love her!"
"59","USER_79321756","Pacific West","Apple bees for dinner with the fam and my bf  !:) ima start my patron feast there!  how ya feeeeeel?"
"60","USER_79321756","Pacific West","Alllllllll da way turnnnnnd up! You can catch me out gsc bouncin tonight!!"
