"","User","Region","Tweet"
"3473","USER_e592da65","Southwest","R u vegas??? RT :  well that was a dumb ?... what u mean ""where I'm at"""
"3474","USER_e592da65","Southwest","Just BBM Me 30AC00D4"
"3475","USER_e592da65","Southwest","In da house nigga sleepin!!!!! RT :  nigga were tha fucc u been??"
"3476","USER_e592da65","Southwest"," nigga on ""lockdown"" hahahahaha"
"3477","USER_e592da65","Southwest","All I got is 15min and I wanna get up in it aint got no time talk come and break me off!!!!! Mark Nelson"
"3478","USER_e592da65","Southwest","Gurl u got some catchin up to do!!!!! RT : Can someone tell me wat a freeze cup is lol"
"3479","USER_e592da65","Southwest","Datz wat I'm tired from all those long hours I use to work RT : From What You Aint Got No Job Lol RT "
"3480","USER_e592da65","Southwest","Bake chicken and istant rice is not hard !!!! RT :  I thought you didnt know how to cook?"
"3481","USER_e592da65","Southwest","Craid mack lookin azz RT : U short RuPaul lookin asss RT: : U are da real beatle juice. "
"3482","USER_e592da65","Southwest","Twitter iz dead guess I'm going bac to sleep"
"3483","USER_e592da65","Southwest","Watz wrong drunkie :) lol RT : Oh how I love being ignored"
"3484","USER_e592da65","Southwest"," oh okay well stay n da house and chill out!!!!!!"
"3485","USER_e592da65","Southwest","Don't hate itz going down Mar 13th RT : Oh lord!!! RT : 7 More Days!!!!!!! Pisces stand up"
"3486","USER_e592da65","Southwest","Checkin up on you howz ur lip??? :) RT :  wassup"
"3487","USER_e592da65","Southwest","Damn drunks!!!!!!! RT : Everybody started drinkn to early over here so they didn't make it out tonight..."
"3488","USER_e592da65","Southwest","Itz crackin RT :  Ummm thinkin bout goin!"
"3489","USER_e592da65","Southwest","Cadillac ranch!!! RT :  where yall at"
"3490","USER_e592da65","Southwest","Hahahaha RT : "
"6758","USER_8fe48fab","Southwest","editing webpages while only being able to see 6 lines of text at a time is giving me a headache!"
"6759","USER_8fe48fab","Southwest","Today, I am a school bus driver I guess.. taking my 2 girls to their respective schools, 2 nieces and a friend to UofA all before my coffee"
"6760","USER_8fe48fab","Southwest","Its not that I was ignoring my wife all these years, it was the asprin that made me deaf"
"6761","USER_8fe48fab","Southwest","C:/spot C:/spot/run Run/spot/run"
"6762","USER_8fe48fab","Southwest","RT : John McCain & Jay Leno: 1 doesn't how many houses he has, & the other doesn't know how many cars he has. I smell sitcom!"
"6763","USER_8fe48fab","Southwest","RT :  in Dallas for North Texas Irish Fest. Starts Fri.//Dallas in an odd spot for an Irish Fest.."
"6764","USER_8fe48fab","Southwest"," which was easier for you, working with someone else's script or working with your own?"
"6765","USER_8fe48fab","Southwest","This dressed up, need to eat somewhere nice for lunch..."
"6766","USER_8fe48fab","Southwest"," and Antenori wants to get rid of low-flow toilets..."
"6767","USER_8fe48fab","Southwest","Tim Bee talking about revenue declines... And he DID mention the tax cuts..."
"6768","USER_8fe48fab","Southwest","Wow. An R admits that the tax cuts just didn't have the expected impact... (No shit)"
"6769","USER_8fe48fab","Southwest","Wow.. Possible deals worked out for 2010 and 2011 budgets."
"6770","USER_8fe48fab","Southwest","RT : Hospital group considering ballot prop to tax alcohol, soda and tobacco to help cover AHCCCS costs."
"6771","USER_8fe48fab","Southwest","What does $50 Mill get you? bases-loaded innnig ending ground out..."
"6772","USER_8fe48fab","Southwest","RT : I just did some serious power shopping...my wallet should no longer be allowed in the mall//stimulate the economy!"
"6773","USER_8fe48fab","Southwest","Everyone is certain that ADJC is going to close, that means 50 more computers 4-5 more printers for me to buy/Install.."
"6774","USER_8fe48fab","Southwest"," I was just about to ask if you wante a chai. I had to go pay my parking for the month"
"6775","USER_8fe48fab","Southwest","Think I stretched myself thin today... Said I'd be at three places today. All at the same time.. Oops!"
"6776","USER_8fe48fab","Southwest"," He was this AM to be part of the Vince presser but not now. He read Rodney's book  The Loft earlier"
"6777","USER_8fe48fab","Southwest","RT : Would feel safer if Oscars winners chosen by Military Tribunal."
"9668","USER_dfa2bf3d","Southwest","RT : I'm not a biblical scholar, but I don't ever remember reading Jesus wanting the govt to be the charitable arm of humanity. ..."
"9669","USER_dfa2bf3d","Southwest","RT : George Soros, u are evil, evil, evil creature. Won't call you a man b/c you are a weasel, who betrays his own, lowest ..."
"9670","USER_dfa2bf3d","Southwest","RT : CANCELED AMBER Alert : Melvin Duclos - Jacksonville, FL child found safely"
"9671","USER_dfa2bf3d","Southwest","RT : BOHICA: Bend Over, Here It Comes Again. "
"9672","USER_dfa2bf3d","Southwest","RT : Just a reminder, many people create fake RT's from me with links. Some of them contain disgusting porn. Be careful what ..."
"9673","USER_dfa2bf3d","Southwest"," LOL your so cute ;*"
"9674","USER_dfa2bf3d","Southwest","RT : If gas and electricity ""necessarily skyrocket"" The American people will ""necessarily start kicking some commie but"""
"9675","USER_dfa2bf3d","Southwest","RT : Add the 22% REAL unemployment and the 11% on welfare, and we're one third of nation not working, worse than GREAT DEPRE ..."
